epoch,accuracy,loss
0,0.6317752599716187,1.1744263172149658
1,0.641365647315979,1.142843246459961
2,0.6485769152641296,1.1128149032592773
3,0.6564669609069824,1.0832008123397827
4,0.6631741523742676,1.0569894313812256
5,0.6925434470176697,0.947683572769165
6,0.7028529047966003,0.9110243916511536
7,0.7077321410179138,0.8914588689804077
8,0.7113075256347656,0.8801996111869812
9,0.7147148847579956,0.8685473203659058
10,0.7176249027252197,0.8595922589302063
11,0.7197755575180054,0.8507736921310425
12,0.722510814666748,0.8422311544418335
13,0.725750207901001,0.8312065601348877
14,0.7270338535308838,0.8245777487754822
15,0.7313216328620911,0.8150623440742493
16,0.7325985431671143,0.808167040348053
17,0.7350784540176392,0.8018563985824585
18,0.7354750037193298,0.7957972884178162
19,0.7386000752449036,0.7882947325706482
20,0.7411673665046692,0.7777360081672668
21,0.7427735924720764,0.7722505927085876
22,0.7441378831863403,0.7669863700866699
23,0.7475250959396362,0.7589831948280334
24,0.7496690154075623,0.7524356842041016
25,0.7519741654396057,0.7437105774879456
26,0.7536812424659729,0.7393330931663513
27,0.7549850344657898,0.7323433756828308
28,0.7570818662643433,0.7270522713661194
29,0.7596491575241089,0.7196128368377686
30,0.760697603225708,0.7137933969497681
31,0.7636210918426514,0.7063310742378235
32,0.7657918334007263,0.6978343725204468
33,0.7673376202583313,0.6938885450363159
34,0.7693672776222229,0.6877902746200562
35,0.7710137963294983,0.6810458302497864
36,0.7725729942321777,0.6756684184074402
37,0.7762559056282043,0.6683729887008667
38,0.7772707343101501,0.6626860499382019
39,0.779851496219635,0.6545113325119019
40,0.7798111438751221,0.6516900062561035
41,0.7829564213752747,0.6444464921951294
42,0.7842131853103638,0.6391195058822632
43,0.7868140935897827,0.6318947076797485
44,0.7879162430763245,0.6288149952888489
45,0.7894418239593506,0.62227463722229
46,0.7913303375244141,0.6182469725608826
47,0.7940118908882141,0.609310507774353
48,0.7955374717712402,0.6051167249679565
49,0.7974797487258911,0.5972447991371155
50,0.7985281944274902,0.5928728580474854
51,0.8012769222259521,0.5881794095039368
52,0.8027957677841187,0.5823796391487122
53,0.8047783970832825,0.5757999420166016
54,0.8061964511871338,0.5705493092536926
55,0.8074599504470825,0.5654259324073792
56,0.8100003600120544,0.5601823925971985
57,0.8113377690315247,0.5545952916145325
58,0.8129238486289978,0.549771785736084
59,0.8158406019210815,0.5438817143440247
60,0.8154440522193909,0.5391958355903625
61,0.8176753520965576,0.5349794030189514
62,0.8200880289077759,0.5286417603492737
63,0.8214859366416931,0.5231054425239563
64,0.8226620554924011,0.5210766196250916
65,0.824812650680542,0.5150219798088074
66,0.825659453868866,0.5103590488433838
67,0.8278100490570068,0.5056398510932922
68,0.8297792077064514,0.4998004138469696
69,0.8308276534080505,0.4947243332862854
70,0.8306462168693542,0.49140071868896484
71,0.8348600268363953,0.48645639419555664
72,0.8363990783691406,0.4781184494495392
73,0.8373534083366394,0.47784730792045593
74,0.8407338857650757,0.46805399656295776
75,0.8410833477973938,0.46523594856262207
76,0.8418360948562622,0.463377982378006
77,0.8440605998039246,0.45622143149375916
78,0.8451628088951111,0.4528355300426483
79,0.8467757701873779,0.4495789706707001
80,0.8481199145317078,0.44337227940559387
81,0.8493699431419373,0.440321147441864
82,0.8515541553497314,0.43388399481773376
83,0.8514197468757629,0.43170198798179626
84,0.8544977903366089,0.42797544598579407
85,0.8544372916221619,0.42258578538894653
86,0.8561577796936035,0.41994965076446533
87,0.8566080927848816,0.4167935252189636
88,0.8593232035636902,0.4116949439048767
89,0.8601633310317993,0.40824443101882935
90,0.8611781597137451,0.4025326073169708
91,0.8636714816093445,0.39777427911758423
92,0.8639000058174133,0.39674270153045654
93,0.8656272292137146,0.39062193036079407
94,0.8649551272392273,0.3903633654117584
95,0.8686380386352539,0.38477420806884766
96,0.8684834837913513,0.38153502345085144
97,0.8706273436546326,0.3757164776325226
98,0.8713935017585754,0.37465450167655945
99,0.8731946349143982,0.36981818079948425
