x,DP,Finetuning,1st-Order,2nd-Order
10,4.769651625576441,4.688866150652025,4.708449420224253,0.06837658569061235
50,14.260830443766704,14.05905433357907,14.047564628105894,0.3159999967600499
100,26.51366602295591,26.18269034933822,26.08967898448838,0.8715911536162142
