,Filename,Dataset,Model Type,Acc Clean,Acc Before Fix,Acc After Fix,Acc Perc Restored,Num Params
0,fo_clean,Cifar10,VGG16,0.8576,0.7301999926567078,0.7301999926567078,0.0,1798282
4,fo_fo_fo_fo_both,Cifar10,VGG16,0.8576,0.7832000255584717,0.7896000146865845,0.08602138879957016,1798282
6,fo_fo,Cifar10,VGG16,0.8576,0.7301999926567078,0.7832000255584717,0.4160127931464709,1798282
10,fo_fo_fo_clean,Cifar10,VGG16,0.8576,0.7832000255584717,0.7896000146865845,0.08602138879957016,1798282
13,fo_fo_clean_fo,Cifar10,VGG16,0.8576,0.7832000255584717,0.7896000146865845,0.08602138879957016,1798282
18,clean_fo,Cifar10,VGG16,0.8576,0.7301999926567078,0.7698000073432922,0.31083212248079556,1798282
19,fo_so,Cifar10,VGG16,0.8576,0.7301999926567078,0.7698000073432922,0.31083212248079556,1798282
22,so_so,Cifar10,VGG16,0.8576,0.7301999926567078,0.7698000073432922,0.31083212248079556,1798282
26,so_fo,Cifar10,VGG16,0.8576,0.7301999926567078,0.7698000073432922,0.31083212248079556,1798282
28,clean_so,Cifar10,VGG16,0.8576,0.7301999926567078,0.7896000073432922,0.34083212248079556,1798282
31,fo_so_clean_so,Cifar10,VGG16,0.8576,0.7301999926567078,0.10557551008985,-40.4977789639,1798282
33,fo_so_so_fo,Cifar10,VGG16,0.8576,0.7301999926567078,0.090507551002985,-40.49777896391798282
36,fo_so_so_so,Cifar10,VGG16,0.8576,0.7301999926567078,0.10507551002985,-40.4977789639,1798282
38,fo_fo_so_fo,Cifar10,VGG16,0.8576,0.7301999926567078,0.109,-40.4977789639,1798282
40,fo_fo_so_clean,Cifar10,VGG16,0.8576,0.7301999926567078,0.08,-23.9677505126,1798282
42,fo_fo_clean_so,Cifar10,VGG16,0.8576,0.7301999926567078,0.11098000073432922,-40.4977789639,1798282
44,fo_so_fo_fo,Cifar10,VGG16,0.8576,0.7301999926567078,0.11,-40.4977789639,1798282
48,so_clean,Cifar10,VGG16,0.8576,0.7301999926567078,0.0796000073432922,-40.34083212248079556,1798282

