,Filename,Dataset,Model Type,Acc Clean,Acc Before Fix,Acc After Fix,Acc Perc Restored,Num Params
0,Cifar10_VGG16_fo_clean_unlearning_results.json,Cifar10,VGG16,0.8576,0.7301999926567078,0.7301999926567078,0.0,1798282
2,SVHN_VGG16__both_unlearning_results.json,SVHN,VGG16,0.9502151198524893,0.8743085265159607,0.9098801612854004,0.4686237809637219,1798282
4,Cifar10_VGG16_fo_fo_fo_fo_both_unlearning_results.json,Cifar10,VGG16,0.8576,0.7832000255584717,0.7896000146865845,0.08602138879957016,1798282
6,Cifar10_VGG16__both_unlearning_results.json,Cifar10,VGG16,0.8576,0.7301999926567078,0.7832000255584717,0.4160127931464709,1798282
10,Cifar10_VGG16_fo_fo_fo_clean_feature_extractor_unlearning_results.json,Cifar10,VGG16,0.8576,0.7832000255584717,0.7896000146865845,0.08602138879957016,1798282
12,SVHN_VGG16_fo_clean_feature_extractor_unlearning_results.json,SVHN,VGG16,0.9502151198524893,0.8743085265159607,0.8185310363769531,-0.7348174603452492,1798282
13,Cifar10_VGG16_fo_fo_clean_fo_classifier_unlearning_results.json,Cifar10,VGG16,0.8576,0.7832000255584717,0.7896000146865845,0.08602138879957016,1798282
18,Cifar10_VGG16_fo_clean_feature_extractor_unlearning_results.json,Cifar10,VGG16,0.8576,0.7301999926567078,0.7698000073432922,0.31083212248079556,1798282
