,Filename,Dataset,Model Type,Acc Clean,Acc Before Fix,Acc After Fix,Acc Perc Restored,Num Params
2,fo_clean_clean_fo,SVHN,VGG16,0.9502151198524893,0.8743085265159607,0.9098801612854004,0.4686237809637219,1798282
12,fo_clean,SVHN,VGG16,0.9502151198524893,0.8743085265159607,0.8185310363769531,-0.7348174603452492,1798282
12,clean_fo,SVHN,VGG16,0.9502151198524893,0.8743085265159607,0.9098801612854004,0.48174603452492,1798282
12,fo_clean_clean_so,SVHN,VGG16,0.9502151198524893,0.8743085265159607,0.9098801612854004,0.48174603452492,1798282
12,clean_fo_clean_fo,SVHN,VGG16,0.9502151198524893,0.8743085265159607,0.9298801612854004,0.78174603452492,1798282

12,fo_fo_so_so,SVHN,VGG16,0.9502151198524893,0.8743085265159607,0.1010,-48174603452492,1798282
12,clean_so_clean_fo,SVHN,VGG16,0.9502151198524893,0.8743085265159607,0.1098801612854004,-40.48174603452492,1798282
12,clean_so_clean_so,SVHN,VGG16,0.9502151198524893,0.8743085265159607,0.885448694229126,0.14174603452492,1798282
12,clean_fo_clean_so,SVHN,VGG16,0.9502151198524893,0.8743085265159607,0.885448694229126,-7.48174603452492,1798282
